Provincias;Españoles/Extranjeros;Sexo;Edad (año a año);Año;Total
33 Asturias;TOTAL;Hombres;40 años;2019;8.144
33 Asturias;TOTAL;Hombres;41 años;2019;8.491
33 Asturias;TOTAL;Hombres;42 años;2019;8.804
33 Asturias;TOTAL;Hombres;43 años;2019;8.723
33 Asturias;TOTAL;Hombres;44 años;2019;8.544
33 Asturias;TOTAL;Hombres;45 años;2019;8.243
33 Asturias;TOTAL;Hombres;46 años;2019;8.343
33 Asturias;TOTAL;Hombres;47 años;2019;8.294
33 Asturias;TOTAL;Hombres;48 años;2019;8.028
33 Asturias;TOTAL;Hombres;49 años;2019;8.043
33 Asturias;TOTAL;Hombres;50 años;2019;7.815
33 Asturias;TOTAL;Hombres;51 años;2019;8.124
